tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,60867.34194440022,3113341940715015014,1,3113341940715,19.5214,1,3113,0.398984,17.037,17.1778,0.044525,0.0475,290.5807066,15.4577766,0.511429,,17.1675,0.0589,,False,True,False,27.5.6,0.0,3.143234745715015e+18,14.948533,100.0,0.0065045464,t17_f5_c3,ZTF18aaxypqy
ztf,60869.22336809989,3115223365715025004,1,3115223365715,19.985,1,3115,0.325512,16.7188,16.8162,0.07345,0.0267,290.5808667,15.4578223,0.725714,,16.816,0.0323,,False,True,False,27.5.6,0.0,3.143234745715015e+18,14.92986,100.0,0.01413891,t17_f5_c3,ZTF18aaxypqy
ztf,60871.243159700185,3117243155715015002,1,3117243155715,20.1179,1,3117,0.208181,16.7587,16.826,0.088665,0.0261,290.5808064,15.4578064,0.765714,,16.8099,0.0301,,False,True,False,27.5.6,0.0,3.143234745715015e+18,14.9374275,0.0059805196,0.016566984,t17_f5_c3,ZTF18aaxypqy
ztf,60871.289236099925,3117289230715015026,2,3117289230715,19.9179,1,3117,0.245409,14.825,14.7986,0.009695,0.0069,290.5807471,15.4578164,0.698571,,14.7764,0.0074,,False,True,False,27.5.6,0.0,3.143234745715015e+18,13.158511,100.0,0.0020890676,t17_f5_c3,ZTF18aaxypqy
ztf,60871.289236099925,3117289230715015033,2,3117289230715,19.9179,1,3117,0.560164,14.9484,14.9062,0.084989,0.0073,290.5807079,15.4577283,0.527143,,14.8353,0.0076,,False,True,False,27.5.6,0.0,3.143234745715015e+18,13.183942,0.009674626,0.016733222,t17_f5_c3,ZTF18aaxypqy
ztf,60871.301342600025,3117301345715015004,2,3117301345715,19.7144,1,3117,0.833417,14.7212,14.7686,0.092535,0.0073,290.5808402,15.4576377,0.448571,,14.7651,0.0082,,False,True,False,27.5.6,0.0,3.143234745715015e+18,13.140662,0.016591864,0.021581963,t17_f5_c3,ZTF18aaxypqy
ztf,60873.23525460018,3119235255715015004,1,3119235255715,20.4699,1,3119,0.278278,17.1529,17.2928,0.071042,0.0327,290.5808082,15.4577874,0.728571,,17.3092,0.0379,,False,True,False,27.5.6,0.0,3.143234745715015e+18,15.00102,100.0,0.009789557,t17_f5_c3,ZTF18aaxypqy
ztf,60873.23620369984,3119236200715015028,1,3119236200715,20.346771,1,3119,1.1557133,17.675146,17.4117,0.08645376,0.036,290.5809425,15.4575525,0.37857142,0.6755858,17.3979,0.041,590120107.0,True,True,False,27.5.6,0.0,,15.021418,100.0,0.007503992,t17_f5_c3,ZTF18aaxypqy
ztf,60876.29717590008,3122297170715015046,1,3122297170715,20.8019,1,3122,0.604292,17.1354,17.4659,0.08111,0.0261,290.5808243,15.4576816,0.412857,,17.4032,0.0282,,False,True,False,27.5.6,0.0,3.143234745715015e+18,14.962364,100.0,0.010961239,t17_f5_c3,ZTF18aaxypqy
ztf,60876.29717590008,3122297170715015047,1,3122297170715,20.8019,1,3122,0.221764,16.9909,17.0115,0.027803,0.0203,290.580803,15.4577873,0.831429,,16.996,0.0219,,False,True,False,27.5.6,0.0,3.143234745715015e+18,14.941675,100.0,0.00421116,t17_f5_c3,ZTF18aaxypqy
ztf,60876.31749999989,3122317495715015002,1,3122317495715,20.5908,1,3122,0.197667,16.599,16.8341,0.126196,0.0188,290.5807779,15.4579161,0.575714,,16.8357,0.0209,,False,True,False,27.5.6,0.0,3.143234745715015e+18,14.905748,0.021879144,0.026530448,t17_f5_c3,ZTF18aaxypqy
ztf,60878.27521990007,3124275215715015003,2,3124275215715,20.6618,1,3124,0.144459,14.8622,15.0523,0.081427,0.0069,290.5807823,15.4578242,0.638571,,15.0384,0.0071,,False,True,False,27.5.6,0.0,3.143234745715015e+18,13.171948,0.009637321,0.017165951,t17_f5_c3,ZTF18aaxypqy
ztf,60878.34724539984,3124347240715015027,1,3124347240715,20.801455,1,3124,1.3538238,17.460743,17.4637,0.038399387,0.0276,290.5809558,15.4574977,0.56285715,0.93853533,17.4708,0.0306,590120107.0,True,True,True,27.5.6,0.0,,15.001036,100.0,0.003985119,t17_f5_c3,ZTF18aaxypqy
ztf,60880.2959143999,3126295910715025024,1,3126295910715,20.7822,1,3126,0.703102,17.6835,17.3748,0.170291,0.0277,290.5808194,15.4576495,0.375714,,17.3639,0.0306,,False,True,False,27.5.6,0.0,3.143234745715015e+18,15.02214,0.008619815,0.014677347,t17_f5_c3,ZTF18aaxypqy
ztf,60880.318946800195,3126318945715025006,1,3126318945715,20.7663,1,3126,0.238223,17.1637,17.2651,0.09011,0.0261,290.5807739,15.4577932,0.772857,,17.2678,0.0292,,False,True,False,27.5.6,0.0,3.143234745715015e+18,15.002502,100.0,0.0123110125,t17_f5_c3,ZTF18aaxypqy
ztf,60882.2255092999,3128225505715015000,1,3128225505715,20.2917,1,3128,0.509704,17.5093,17.5003,0.063561,0.0358,290.5808552,15.4577409,0.904286,,17.546,0.0432,,False,True,False,27.5.6,0.0,3.143234745715015e+18,15.043714,100.0,0.0065607913,t17_f5_c3,ZTF18aaxypqy
ztf,60882.28120370023,3128281200715015026,2,3128281200715,20.6676,1,3128,0.690335,15.513,15.6663,0.118323,0.0098,290.5807704,15.4576604,0.432857,,15.5551,0.0097,,False,True,False,27.5.6,0.0,3.128342680715015e+18,13.274278,0.0025293508,0.015051526,t17_f5_c3,ZTF18aaxypqy
ztf,60882.28120370023,3128281200715015028,2,3128281200715,20.6676,1,3128,0.424983,15.3309,15.3549,0.01293,0.0086,290.5807038,15.457791,0.678571,,15.3483,0.0089,,False,True,False,27.5.6,0.0,3.128342680715015e+18,13.249346,100.0,0.0019009773,t17_f5_c3,ZTF18aaxypqy
ztf,60882.34268519981,3128342680715015034,1,3128342680715,20.63451,1,3128,0.86457735,18.032427,17.8425,0.14691393,0.0409,290.5807967,15.4576042,0.3642857,0.96266234,17.7164,0.0419,590120107.0,True,True,False,27.5.6,0.0,,15.048169,100.0,0.009405027,t17_f5_c3,ZTF18aaxypqy
ztf,60886.263703700155,3132263700715015023,1,3132263700715,20.43979,1,3132,1.0309684,17.87329,17.9351,0.060013365,0.0468,290.580777,15.4575598,0.16285715,0.38074806,17.7485,0.0459,590120107.0,True,True,False,27.5.6,0.0,,15.037252,100.0,0.0044038584,t17_f5_c3,ZTF18aaxypqy
